video,split,corpus_class,dataset_knees_forward_intervals_s,dataset_knees_inward_intervals_s,any_fault_interval,posture_v1_prob_fault,posture_v1_says_fault_at_0.525,rule_knees_forward,rule_peak_s,rule_peak_inside_labelled_interval,view,frames_dir,video_path
46758_3,train,posture_fault,"[[2.27, 3.28]]",[],yes,0.374,no,OBSERVED,1.867,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46758_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46758_3.mp4
46762_2,train,posture_fault,"[[2.04, 3.55]]",[],yes,0.852,yes,OBSERVED,1.433,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46762_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46762_2.mp4
46773_3,train,posture_fault,"[[1.16, 3.08]]",[],yes,0.664,yes,OBSERVED,2.1,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46773_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46773_3.mp4
46774_8,train,posture_fault,"[[1.31, 2.71]]",[],yes,0.444,no,OBSERVED,1.733,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46774_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46774_8.mp4
46782_3,train,posture_fault,"[[2.17, 3.14]]",[],yes,0.689,yes,NOT_OBSERVED,2.433,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46782_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46782_3.mp4
46787_1,train,posture_fault,"[[2.94, 3.86]]",[],yes,0.621,yes,NOT_OBSERVED,1.967,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46787_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46787_1.mp4
46839_1,train,posture_fault,"[[2.77, 6.09]]",[],yes,0.904,yes,UNCERTAIN,1.533,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46839_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46839_1.mp4
46850_1,train,good_form,[],[],no,0.765,yes,OBSERVED,1.5,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46850_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46850_1.mp4
46856_1,train,posture_fault,"[[2.33, 4.27]]",[],yes,0.741,yes,UNCERTAIN,1.3,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46856_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46856_1.mp4
46869_2,train,good_form,[],[],no,0.619,yes,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46869_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46869_2.mp4
46877_1,train,good_form,[],[],no,0.504,no,OBSERVED,2.833,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46877_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46877_1.mp4
46889_5,train,good_form,[],[],no,0.258,no,OBSERVED,1.933,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46889_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46889_5.mp4
46916_1,train,posture_fault,"[[0.73, 1.84]]",[],yes,0.370,no,OBSERVED,1.2,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46916_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46916_1.mp4
46920_16,train,good_form,[],[],no,0.227,no,OBSERVED,0.767,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46920_16,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46920_16.mp4
46923_2,train,good_form,[],[],no,0.050,no,OBSERVED,1.167,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46923_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46923_2.mp4
46939_1,train,good_form,[],[],no,0.225,no,NOT_OBSERVED,1.133,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46939_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46939_1.mp4
46984_2,train,posture_fault,"[[7.07, 11.23]]",[],yes,0.893,yes,NOT_OBSERVED,6.1,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/46984_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/46984_2.mp4
47004_1,train,posture_fault,"[[6.76, 7.88]]",[],yes,0.329,no,UNCERTAIN,3.133,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47004_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47004_1.mp4
47017_1,train,posture_fault,"[[0.96, 2.29]]",[],yes,0.678,yes,NOT_OBSERVED,1.933,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47017_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47017_1.mp4
47018_1,train,posture_fault,"[[1.92, 3.53]]",[],yes,0.226,no,NOT_OBSERVED,2.1,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47018_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47018_1.mp4
47020_1,train,posture_fault,"[[3.06, 3.78]]",[],yes,0.667,yes,OBSERVED,1.933,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47020_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47020_1.mp4
47021_2,train,posture_fault,"[[2.3, 3.65]]","[[1.84, 3.49]]",yes,0.774,yes,UNCERTAIN,2.367,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47021_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47021_2.mp4
47049_2,train,good_form,[],[],no,0.346,no,UNCERTAIN,0.767,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47049_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47049_2.mp4
47050_2,train,good_form,[],[],no,0.008,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47050_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47050_2.mp4
47054_1,train,posture_fault,"[[1.14, 4.41]]","[[2.19, 3.53]]",yes,0.843,yes,OBSERVED,1.733,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47054_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47054_1.mp4
47057_1,train,posture_fault,"[[1.1, 4.34]]","[[2.16, 4.06]]",yes,0.535,yes,OBSERVED,1.3,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47057_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47057_1.mp4
47107_1,train,posture_fault,"[[3.48, 7.07]]",[],yes,0.627,yes,NOT_OBSERVED,3.9,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47107_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47107_1.mp4
47117_1,train,good_form,[],[],no,0.377,no,NOT_OBSERVED,1.733,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47117_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47117_1.mp4
47130_1,train,good_form,[],[],no,0.291,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47130_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47130_1.mp4
47134_8,train,posture_fault,"[[0.93, 2.92]]",[],yes,0.575,yes,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47134_8,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47134_8.mp4
47140_1,train,posture_fault,"[[4.29, 5.03]]",[],yes,0.908,yes,NOT_OBSERVED,3.533,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47140_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47140_1.mp4
47145_1,train,posture_fault,"[[2.38, 3.88]]","[[1.96, 3.37]]",yes,0.915,yes,OBSERVED,1.433,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47145_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47145_1.mp4
47153_3,train,posture_fault,"[[2.18, 4.54]]",[],yes,0.881,yes,OBSERVED,1.133,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47153_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47153_3.mp4
47186_5,train,good_form,[],[],no,0.122,no,OBSERVED,1.1,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47186_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47186_5.mp4
47194_1,train,posture_fault,"[[1.38, 3.31]]","[[1.52, 3.02]]",yes,0.873,yes,OBSERVED,1.4,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47194_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47194_1.mp4
47209_2,train,posture_fault,"[[1.88, 3.04]]",[],yes,0.914,yes,OBSERVED,0.967,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47209_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47209_2.mp4
47224_2,train,posture_fault,"[[1.59, 3.16]]",[],yes,0.599,yes,UNCERTAIN,1.733,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47224_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47224_2.mp4
47227_5,train,good_form,[],[],no,0.346,no,OBSERVED,1.833,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47227_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47227_5.mp4
47243_15,train,good_form,[],[],no,0.137,no,NOT_OBSERVED,1.067,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47243_15,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47243_15.mp4
47248_1,train,good_form,[],[],no,0.854,yes,OBSERVED,2.667,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47248_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47248_1.mp4
47258_4,train,good_form,[],[],no,0.123,no,OBSERVED,0.633,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47258_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47258_4.mp4
47272_4,train,good_form,[],[],no,0.286,no,NOT_OBSERVED,2.4,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47272_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47272_4.mp4
47274_1,train,posture_fault,"[[1.17, 4.49]]",[],yes,0.515,no,OBSERVED,1.733,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47274_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47274_1.mp4
47276_4,train,good_form,[],[],no,0.912,yes,OBSERVED,4.6,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47276_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47276_4.mp4
47279_1,train,posture_fault,"[[2.22, 4.16]]",[],yes,0.473,no,UNCERTAIN,,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47279_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47279_1.mp4
47295_5,train,good_form,[],[],no,0.309,no,NOT_OBSERVED,1.033,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47295_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47295_5.mp4
47315_4,train,posture_fault,"[[3.71, 4.71]]",[],yes,0.286,no,OBSERVED,3.1,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47315_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47315_4.mp4
47321_4,train,good_form,[],[],no,0.300,no,OBSERVED,1.267,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47321_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47321_4.mp4
47327_1,train,good_form,[],[],no,0.256,no,NOT_OBSERVED,0.933,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47327_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47327_1.mp4
47341_1,train,posture_fault,"[[0.85, 2.73]]",[],yes,0.874,yes,NOT_OBSERVED,1.867,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47341_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47341_1.mp4
47347_3,train,good_form,[],[],no,0.491,no,UNCERTAIN,2.767,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47347_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47347_3.mp4
47351_5,train,good_form,[],[],no,0.429,no,UNCERTAIN,1.233,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47351_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47351_5.mp4
47372_7,train,posture_fault,"[[2.16, 3.38]]",[],yes,0.857,yes,OBSERVED,1.233,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47372_7,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47372_7.mp4
47396_1,train,posture_fault,"[[2.45, 3.22]]","[[1.82, 3.04]]",yes,0.840,yes,OBSERVED,1.233,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47396_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47396_1.mp4
47403_2,train,posture_fault,"[[3.28, 3.72]]",[],yes,0.603,yes,UNCERTAIN,2.433,no,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47403_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47403_2.mp4
47415_3,train,posture_fault,"[[2.74, 3.53]]",[],yes,0.818,yes,OBSERVED,1.567,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47415_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47415_3.mp4
47419_1,train,posture_fault,"[[2.22, 4.02]]","[[1.67, 3.65]]",yes,0.879,yes,NOT_OBSERVED,1.5,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47419_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47419_1.mp4
47423_1,train,posture_fault,"[[0.69, 3.82]]","[[1.55, 3.41]]",yes,0.639,yes,UNCERTAIN,0.8,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47423_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47423_1.mp4
47427_1,train,posture_fault,"[[1.1, 2.84]]",[],yes,0.743,yes,OBSERVED,1.3,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47427_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47427_1.mp4
47437_4,train,good_form,[],[],no,0.773,yes,OBSERVED,0.967,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47437_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47437_4.mp4
47458_9,train,good_form,[],[],no,0.348,no,OBSERVED,0.967,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47458_9,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47458_9.mp4
47476_4,train,posture_fault,"[[0.64, 2.91]]",[],yes,0.590,yes,UNCERTAIN,0.867,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47476_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47476_4.mp4
47483_1,train,good_form,[],[],no,0.780,yes,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47483_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47483_1.mp4
47485_5,train,good_form,[],[],no,0.626,yes,NOT_OBSERVED,1.733,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47485_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47485_5.mp4
47501_2,train,good_form,[],[],no,0.385,no,OBSERVED,1.167,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47501_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47501_2.mp4
47514_5,train,posture_fault,"[[0.51, 1.41], [1.97, 4.4]]","[[1.57, 4.1]]",yes,0.678,yes,OBSERVED,0.8,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47514_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47514_5.mp4
47519_1,train,posture_fault,"[[2.47, 4.04]]",[],yes,0.850,yes,UNCERTAIN,1.4,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47519_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47519_1.mp4
47531_5,train,posture_fault,"[[1.16, 3.27]]",[],yes,0.592,yes,NOT_OBSERVED,1.033,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47531_5,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47531_5.mp4
47544_2,train,posture_fault,"[[1.56, 3.12]]",[],yes,0.571,yes,OBSERVED,1.767,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47544_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47544_2.mp4
47548_1,train,good_form,[],[],no,0.679,yes,OBSERVED,1.167,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47548_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47548_1.mp4
47559_3,train,good_form,[],[],no,0.673,yes,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47559_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47559_3.mp4
47569_11,train,good_form,[],[],no,0.533,yes,OBSERVED,1.067,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47569_11,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47569_11.mp4
47570_1,train,posture_fault,"[[2.68, 4.98]]","[[2.03, 4.38]]",yes,0.923,yes,OBSERVED,1.533,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47570_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47570_1.mp4
47591_2,train,posture_fault,"[[2.84, 3.5]]",[],yes,0.830,yes,NOT_OBSERVED,1.7,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47591_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47591_2.mp4
47594_1,train,good_form,[],[],no,0.419,no,NOT_OBSERVED,1.933,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47594_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47594_1.mp4
47619_1,train,good_form,[],[],no,0.567,yes,OBSERVED,1.567,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47619_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47619_1.mp4
47631_4,train,good_form,[],[],no,0.354,no,OBSERVED,1.133,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47631_4,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47631_4.mp4
47636_1,train,posture_fault,"[[0.58, 4.61]]","[[1.48, 3.4]]",yes,0.887,yes,UNCERTAIN,0.8,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47636_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47636_1.mp4
47646_1,train,good_form,[],[],no,0.446,no,OBSERVED,1.3,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47646_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47646_1.mp4
47649_1,train,good_form,[],[],no,0.426,no,UNCERTAIN,3.367,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47649_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47649_1.mp4
47650_1,train,posture_fault,"[[5.9, 6.72]]",[],yes,0.360,no,UNCERTAIN,4.4,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47650_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47650_1.mp4
47666_2,train,posture_fault,"[[1.06, 2.05], [2.46, 3.28]]",[],yes,0.848,yes,OBSERVED,1.567,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47666_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47666_2.mp4
47679_3,train,good_form,[],[],no,0.357,no,OBSERVED,0.767,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47679_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47679_3.mp4
47681_1,train,posture_fault,"[[3.55, 4.96]]",[],yes,0.806,yes,NOT_OBSERVED,2.367,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47681_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47681_1.mp4
47703_2,train,good_form,[],[],no,0.520,no,NOT_OBSERVED,1.4,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47703_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47703_2.mp4
47716_1,train,posture_fault,"[[2.44, 4.43]]",[],yes,0.923,yes,NOT_OBSERVED,1.833,no,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47716_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47716_1.mp4
47717_1,train,posture_fault,"[[1.3, 3.99]]",[],yes,0.850,yes,OBSERVED,1.633,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47717_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47717_1.mp4
47735_2,train,posture_fault,"[[0.69, 1.83]]","[[1.38, 2.26]]",yes,0.889,yes,NOT_OBSERVED,0.967,yes,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47735_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47735_2.mp4
47742_2,train,good_form,[],[],no,0.136,no,UNCERTAIN,,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47742_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47742_2.mp4
47760_1,train,posture_fault,"[[2.33, 4.82]]",[],yes,0.880,yes,OBSERVED,1.4,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47760_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47760_1.mp4
47779_3,train,posture_fault,"[[1.09, 3.25]]",[],yes,0.572,yes,NOT_OBSERVED,1.633,yes,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47779_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47779_3.mp4
47795_3,train,posture_fault,"[[6.21, 6.9]]",[],yes,0.789,yes,UNCERTAIN,5.0,no,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47795_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47795_3.mp4
47827_2,train,good_form,[],[],no,0.546,yes,NOT_OBSERVED,1.267,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47827_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47827_2.mp4
47833_1,train,posture_fault,"[[1.16, 3.23]]",[],yes,0.500,no,UNCERTAIN,,,unknown,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47833_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47833_1.mp4
47871_1,train,posture_fault,"[[1.83, 3.38]]",[],yes,0.159,no,UNCERTAIN,,,side,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47871_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47871_1.mp4
47877_2,train,good_form,[],[],no,0.734,yes,OBSERVED,1.733,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47877_2,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47877_2.mp4
47909_3,train,good_form,[],[],no,0.558,yes,UNCERTAIN,1.167,,oblique,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47909_3,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47909_3.mp4
47960_1,train,good_form,[],[],no,0.634,yes,UNCERTAIN,1.867,,front,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/processed_videos/frames/47960_1,/Users/tarpanmishra/Desktop/Squat More/Labeled_Dataset/videos/47960_1.mp4
